	주제	어휘	뜻
3학년 1학기	감정	hi	안녕
3학년 1학기	감정	hello	안녕하세요
3학년 1학기	감정	bye	안녕, 잘 가
3학년 1학기	사물	bag	가방
3학년 1학기	사물	ball	공
3학년 1학기	사물	bike	자전거
3학년 1학기	사물	book	책
3학년 1학기	사물	car	자동차
3학년 1학기	사물	chair	의자
3학년 1학기	사물	clock	시계
3학년 1학기	사물	cup	컵
3학년 1학기	사물	doll	인형
3학년 1학기	사물	hat	모자
3학년 1학기	사물	robot	로봇
3학년 1학기	동작	close	닫다
3학년 1학기	동작	come	오다
3학년 1학기	동작	dance	춤추다
3학년 1학기	동작	go	가다
3학년 1학기	동작	jump	뛰다
3학년 1학기	동작	look	보다
3학년 1학기	동작	open	열다
3학년 1학기	동작	run	달리다
3학년 1학기	동작	sit	앉다
3학년 1학기	동작	skate	스케이트를 타다
3학년 1학기	동작	stand	서다
3학년 1학기	동작	swim	수영하다
3학년 1학기	동작	walk	걷다
3학년 1학기	학용품	brush	붓
3학년 1학기	학용품	eraser	지우개
3학년 1학기	학용품	glue stick	딱풀
3학년 1학기	학용품	pen	펜
3학년 1학기	학용품	pencil	연필
3학년 1학기	학용품	ruler	자
3학년 1학기	학용품	scissors	가위
3학년 1학기	학용품	tape	테이프
3학년 1학기	동물	bird	새
3학년 1학기	동물	cat	고양이
3학년 1학기	동물	cow	암소
3학년 1학기	동물	dog	개
3학년 1학기	동물	kangaroo	캥거루
3학년 1학기	동물	lion	사자
3학년 1학기	동물	monkey	원숭이
3학년 1학기	동물	panda	판다
3학년 1학기	동물	pig	돼지
3학년 1학기	동물	rabbit	토끼
3학년 1학기	동물	tiger	호랑이
3학년 1학기	동물	zebra	얼룩말
3학년 1학기	색깔	black	검은색, 검은
3학년 1학기	색깔	blue	파란색, 파란
3학년 1학기	색깔	green	초록색, 초록색의
3학년 1학기	색깔	orange	주황색, 주황색의
3학년 1학기	색깔	red	빨간색, 빨간
3학년 1학기	색깔	white	흰색, 하얀
3학년 1학기	색깔	yellow	노란색, 노란
3학년 1학기	과일/채소	apple	사과
3학년 1학기	과일/채소	banana	바나나
3학년 1학기	과일/채소	carrot	당근
3학년 1학기	과일/채소	grapes	포도
3학년 1학기	과일/채소	kiwi	키위
3학년 1학기	과일/채소	lemon	레몬
3학년 1학기	과일/채소	melon	멜론
3학년 1학기	과일/채소	orange	오렌지
3학년 1학기	과일/채소	potato	감자
3학년 1학기	과일/채소	tomato	토마토
3학년 1학기	음식	bread	빵
3학년 1학기	음식	cake	케이크
3학년 1학기	음식	chicken	닭고기
3학년 1학기	음식	cookie	쿠키
3학년 1학기	음식	fish	생선
3학년 1학기	음식	ice cream	아이스크림
3학년 1학기	음식	milk	우유
3학년 1학기	음식	salad	샐러드
3학년 1학기	음식	steak	스테이크
3학년 1학기	음식	pizza	피자
4학년 1학기	인사·안부	good	좋은
4학년 1학기	인사·안부	great	정말 좋은
4학년 1학기	인사·안부	fine	괜찮은
4학년 1학기	인사·안부	bad	나쁜
4학년 1학기	인사·안부	morning	아침
4학년 1학기	인사·안부	afternoon	오후
4학년 1학기	인사·안부	evening	저녁
4학년 1학기	인사·안부	night	밤
4학년 1학기	인사·안부	how	어떻게
4학년 1학기	이름·소개	what	무엇
4학년 1학기	이름·소개	my	나의
4학년 1학기	이름·소개	father	아버지
4학년 1학기	이름·소개	mother	어머니
4학년 1학기	이름·소개	teacher	선생님
4학년 1학기	이름·소개	friend	친구
4학년 1학기	이름·소개	nice	좋은
4학년 1학기	이름·소개	meet	만나다
4학년 1학기	이름·소개	family	가족
4학년 1학기	이름·소개	who	누구
4학년 1학기	이름·소개	she	그녀
4학년 1학기	이름·소개	he	그
4학년 1학기	이름·소개	aunt	이모, 숙모
4학년 1학기	이름·소개	uncle	삼촌
4학년 1학기	이름·소개	cute	귀여운
4학년 1학기	이름·소개	cool	멋진
4학년 1학기	감정·상태	happy	행복한
4학년 1학기	감정·상태	tired	피곤한
4학년 1학기	감정·상태	sad	슬픈
4학년 1학기	감정·상태	sleepy	졸리는
4학년 1학기	감정·상태	angry	화난
4학년 1학기	감정·상태	thirsty	목이 마른
4학년 1학기	감정·상태	hungry	배고픈
4학년 1학기	제안하기	badminton	배드민턴
